region,product,units_sold,revenue,customer_rating,returns
North,Espresso,38,105.13,3.4,5.0
West,Latte,100,458.86,3.6,3.0
East,Espresso,33,75.28,4.2,3.0
South,Latte,96,454.14,5.0,4.0
South,Latte,58,266.53,3.4,0.0
West,Espresso,31,105.7,4.2,5.0
North,Cold Brew,43,206.44,5.0,5.0
East,Latte,66,309.21,3.1,5.0
North,Cold Brew,92,476.03,3.3,4.0
North,Espresso,74,225.49,3.8,6.0
East,Espresso,112,339.52,3.8,7.0
West,Latte,104,472.06,,4.0
East,Espresso,91,260.05,,3.0
West,Espresso,74,219.79,,0.0
East,Latte,38,168.71,4.4,6.0
West,Espresso,52,161.75,3.8,7.0
East,Cold Brew,18,105.0,4.9,5.0
North,Espresso,48,128.12,3.7,6.0
West,Espresso,111,331.12,3.7,6.0
South,Latte,53,260.72,4.4,6.0
East,Cold Brew,18,78.85,4.6,4.0
South,Espresso,79,224.67,4.4,0.0
North,Espresso,115,348.03,3.1,0.0
West,Cold Brew,104,532.67,4.4,1.0
West,Cold Brew,36,180.17,3.5,3.0
East,Latte,57,276.43,4.2,5.0
South,Latte,66,309.85,3.2,3.0
West,Latte,33,161.13,4.4,0.0
East,Latte,35,165.81,3.6,1.0
South,Latte,32,178.91,3.3,7.0
South,Espresso,119,353.92,4.5,7.0
North,Espresso,90,239.95,,3.0
North,Espresso,101,327.06,3.7,6.0
East,Cold Brew,98,483.13,5.0,5.0
West,Latte,115,519.12,,7.0
North,Latte,17,96.14,4.1,
West,Latte,106,452.97,4.3,5.0
West,Cold Brew,12,41.23,3.7,3.0
South,Espresso,59,152.98,4.4,5.0
East,Espresso,73,207.09,3.8,2.0
North,Espresso,46,144.59,,2.0
West,Latte,21,102.36,4.9,4.0
East,Cold Brew,27,139.14,3.5,4.0
South,Latte,99,424.31,2.7,4.0
North,Latte,41,149.85,5.0,3.0
West,Cold Brew,40,200.82,5.0,3.0
South,Espresso,111,325.92,3.9,0.0
West,Latte,21,101.39,2.9,4.0
East,Latte,110,505.53,3.9,4.0
West,Latte,110,497.07,3.9,7.0
West,Cold Brew,73,376.4,4.0,4.0
North,Espresso,24,75.44,3.4,3.0
South,Cold Brew,22,117.95,4.4,0.0
South,Espresso,37,100.43,4.4,1.0
South,Latte,71,316.81,3.2,2.0
North,Latte,22,101.95,4.5,3.0
East,Cold Brew,57,297.31,5.0,2.0
